typePiece,Type,SousType
ACTE DE DECES,SITUATION FAMILIALE,ACTE DE DECES
ACTE DE NAISSANCE,SITUATION FAMILIALE,EXTRAIT ACTE DE NAISSANCE
ACTE MARIAGE,SITUATION FAMILIALE,ACTE DE MARIAGE
ANNONCES DECES,SITUATION FAMILIALE,BULLETIN DE DECES
ATTESTATION CARTE VITALE,JUSTIFICATIF IDENTITE,ATTESTATION CARTE VITALE
AUTORISATION DE PRELEVEMENT,MOYEN DE PAIEMENT,AUTORISATION PAIEMENT COMPTE TIERS
CARTE IDENTITE,JUSTIFICATIF IDENTITE,CARTE IDENTITE
CARTE INVALIDITE,DOCUMENT DE SANTE,CARTE INVALIDITE
CERTIFICAT SCOLARITE,SITUATION FAMILIALE,CERTIFICAT SCOLARITE
CHANGEMENT ADRESSE,COURRIER,DEMANDE CHANGEMENT DOMICILE
CHEQUE,MOYEN DE PAIEMENT,CHEQUE
CONTRAT APPRENTISSAGE,SITUATION FAMILLIALE,CONTRAT APPRENTISSAGE
COURRIERS ADHESIONS,DEMANDE ADHESION,DEMANDE ADHESION PREVOYANCE
K BIS,ENTREPRISE,EXTRAIT K BIS
PASSEPORT,JUSTIFICATIF IDENTITE,PASSEPORT
RIB,MOYEN DE PAIEMENT,RIB
ATTESTATION ASSEDIC,test ATTESTATION ASSEDIC type,test ATTESTATION ASSEDIC sous-type
BULLETIN ADHESION CERCLE,test BULLETIN ADHESION CERCLE type,test BULLETIN ADHESION CERCLE sous-type
BULLETIN DE PARTICIPATION,test BULLETIN DE PARTICIPATION type,test BULLETIN DE PARTICIPATION sous-type
COURRIER CAISSE,test COURRIER CAISSE type,test COURRIER CAISSE sous-type
COURRIER CLIENT,test COURRIER CLIENT type,test COURRIER CLIENT sous-type
COURRIER TIERS,test COURRIER TIERS type,test COURRIER TIERS sous-type
COURRIER VRP,test COURRIER VRP type,test COURRIER VRP sous-type
DEMANDE DE RADIATION,test DEMANDE DE RADIATION type,test DEMANDE DE RADIATION sous-type
DEMANDE TIERS,test DEMANDE TIERS type,test DEMANDE TIERS sous-type
FACTURE,test FACTURE type,test FACTURE sous-type
FACTURE HOTEL,test FACTURE HOTEL type,test FACTURE HOTEL sous-type
MISE A JOUR EMPLOYEUR,test MISE A JOUR EMPLOYEUR type,test MISE A JOUR EMPLOYEUR sous-type
MISE A JOUR VRP,test MISE A JOUR VRP type,test MISE A JOUR VRP sous-type
OFFRE1VRP CONTRAT,test OFFRE1VRP CONTRAT type,test OFFRE1VRP CONTRAT sous-type
PIECE 19,test PIECE 19 type,test PIECE 19 sous-type
PIECE JOINTE,test PIECE JOINTE type,test PIECE JOINTE sous-type
